,Numero d'ordine,Data,Intestazione,Segnatura,Fonte,Bibliografia
484,104,10 12  1547,PAOLO GIOVIO IN ROMA A GIORGIO VASARI IN RIMINI,"ASA, AV, 10 (XLIV), cc. 27, 30.","Eccellentissimo messer Giorgio mio. Io devorai il vostro libro subito subito che l’ebbi e son restato tanto meravigliato che pare impossibile, che voi vagliate tanto col pennello, poiché avanzate voi stesso con la penna. Io notai quel poco che mi parve e vi conforto a stampare il libro a buon conto. E moia e crepi chi ve ne ha invidia! State sopra di me, che sarete immortale. Aspetto la tela de le sei teste per farvene onore con questi signori. Francesco Salviati è venuto qua a l’odor de la morte di Perino, ma vedo il papa occupato in altro che in far la sala grande. Io vi bascio il riccio, e il signor Botti vi dirà il resto. Di Roma alli X di dicembre MDXLVII. Servitore el Vescovo Jovio Al eccellentissimo pittor messer Georgio di Arezzo, mio carissimo In Arimino. ","Frey 1923, p. 209; Giovio, Lettere, 1956-1958, II, p. 117."
485,554,5 01  1565,GIORGIO VASARI IN FIRENZE A LEONARDO MARINOZZI,ACSN.,"Magnifico Messer Lionardo Signor mio. Io non gli ho scritto prima perché non avendo trovato i ritratti degli autori delle Religioni, e perciò non ho scritto. Ora perché io ho fatto cercare a questi litterati, come Messer Pietro Vettori, il Varchi, el Priore de’ Nocenti, non hanno trovato altro che questi due: quello della Religione di Rodi, che fu Gottifredi Buglioni, che vi si manda et Alfonso Re di Castiglia, che fu quello che fe’ l’ordine de’ Cavalier di San Iacopo di Spagnia, il quale qui in Fiorenza non è in luogo alcuno. Onde bisognia fare le teste a caso, simile dell’altre tre che mancano, di maniera che io direi che la Signoria Vostra facessi fare tutte le teste e serbare di scrivervi il nome. E perché ne’ vani dove son gli ovati ci va figure, io ci farei fare quel santo avocato di quelle Religioni: a’ Cavalieri di Portogallo un Cristo con l’insegna della Crocie che portono a collo i Cavalieri; et a quegli di Malta San G. Batista con la medesima insegna della Crocie bianca in uno stendardo per uno in mano, e le c[r]ocie de’ colori e fanone ch’elle sono tanto che di Calatrave e di San Iacopo e di San Stefano, e fussi tutto quel che volete, atendo che Tomaso et Alesandro gli saperan fare da loro e volendo disegnio o di virtù o di questa carne, siàn risoluti lo farò subito e parimente delle teste che si farano a caso. In tanto provino questo. E perché intendo che Tomaso Verrochio et Alessandro Forzori sono disuniti, la Signoria Vostra gli facci intendere per parte mia che l’uno e l’altro si unischi perché non vo l’opera divisa: e se bisognia in questo far cosa alcuna, la Signoria Vostra adoperi l’autorità mia e facci che s’atenda all’opera che importa assai. E perché so quanto l’ama l’onor di questa opera e tenere uniti cotesti cervegli perché non vadino in lungo, ve li raccomando; e se hano bisognio di chi gli aiuti, che intendo che hano tolto non so che giovane, vedete quel che fa e se bisogni pagallo fatelo pagare tenendo conto dele sue giornate, perché andrà a conto loro et aranno avere quel meno. Et avendo aiuto finirà più presto. E la Signoria Vostra mi scusi che ho tanto che fare e non ho aiuto alcuno. E mi perdoni sì del non scrivere così spesso, come dell’altre cose. Basta che al vostro aviso avete, bisogniando, ogni cosa che vi manca nel modo che gli scrivo. Et vi bascio le mani Di Fiorenza alli 5 di gennaio 1564 Di Vostra Signoria Servitore Giorgio Vasari ","Barocchi 2000, p. 30."
486,387,8 03  1562, GIORGIO VASARI IN FIRENZE A COSIMO DE’ MEDICI IN PISA (?),"ASA, AV, 13 (XLVII), cc. 19-22.","Illustrissimo e Eccellentissimo Signor mio. Venendo da Vostra Eccellenza Illustrissima messer Sforzo nostro, e poi che lui ha visto Castello e ‘l vivaio, che è inanzi, e che va inverso il fine, dirà a Quella quanto ha visto della bellezza e bontà sua, così ancora delle stanze terrene del palazzo: che la sala è già finita, e s’è già intonicata e inbiancata la metà e dua camere, perché ho trovati, i muri esser buoni e a proposito, e fatto sfondar le volte (una è finita), che si può al presente dormirvi. L’altra già vi è cominciato a inpostar la volta per i mezzati; e spero, che in breve sareno al fine per goderle al tenpo promesso. Della grandezza, bellezza e comodità di questo apartamento messer Sforzo dirà quel che gli ha visto, e già la scala ovata a chiocciola s’è cominciata, e si lavora a furia: che tutto, se gli è mostero. La scala e ‘l passo della dogana similmente ne potrà dar nuova, e di quante pitture già son fatte per i fregii e camere della Illustrissima Duchessa, e simile l’aver visto l’ultimo palco alzato e le stanze delle damigelle vicino al fine e le scale che vi salgano, colla porta che risponde nel salotto, già messa in mezzo: che quello straforo da finestra a finestra fa parer magiore e più bello il palazzo. Dove per mostrargli ancora la perfezzione e il fine del tavolino della parte del mezzo, doverrà, raguagliando Vostra Eccellenza Illustrissima, fargli fede, che qui si fa presto e bene, e che si desidera venire al fine di tutte queste cose. Della fabrica de’ Magistrati doverrà dirli in che termine si trova, e che molto più doverrà andar per lo avenire innanzi, poi che per grazia di Vostra Eccellenza Illustrissima ha fatto intendere, che a chi ha gli asegniamenti, vadino pagando: che in dua settimane, per questo, è conparso tante pietre, che io spero, che quando Vostra Eccellenza tornerà a San Giovanni, troverrà fatto a’ Magistrati e in palazzo tante cose, che non vi parrà, che ‘l sonno ci dia fastidio. Restami a dirvi, che lo scrittoio d’in sul terrazzo l’ho finito, e che non so se Vostra Eccellenza Illustrissima ci vol banco o cassette o scafali, che me lo avisi: perché i palchetti per metter le statue piccole di marmo già gli ho ordinati. E con questa fo fine, basciandovi le mane e restando satisfatto a quel che io mancassi, perché messer Sforzo nel lungo ragionamento soplirà lui, e Nostro Signore Dio La conservi lungo tenpo con quella felicità che Quella dessidera. Di Fiorenza alli VIII di marzo MDLXI. Di Vostra Eccellenza Illustrissima Obligatissimo Servitore Giorgio Vasari. Allo Illustrissimo e Eccelentissimo Signor, il Signor Duca di Fiorenza e Siena, Signor mio unico. In man propria dove sia 1 . 
 
 
 1 Un banco solamente vole sotto, perché non dia fastidio a’ piedi, con una cassetta da tirar fuora, quanto è il banco, per potervi metter robe e bagaglie. Lelio T. 11 Mart. 61. A Giorgio Vasari d’Arezzo, pittor di Sua Eccellenza. Fiorenza. "," Frey 1923, pp. 668-670."
487,1017,5 09  1572,GUGLIELMO SANGALLETTI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 15 (XLIX), cc. 207-208.","Molto Magnifico Signor mio Per l’altra mia le scrissi, quanto mi facieva mestieri circa del suo venire qua. Le replico il medeximo et ne aspetto da voi risposta. Non ho possuto poi parlare con Sua Santità et però non v’ho che dire altro. Messer Giovan Battista Cini mi scrive che non so che omo a ciò deputato voleva tagliare a Castello cierti mia olmi per servirsene in Arno, pur che crede aver rimediato: se sarà vero, l’averò caro, quanto che no, se vi paressi, o bisogni farne una parola con Loro Alteze per parte mia. Vene prego più presto paghisi quel bisognia; confido in la sua amorevoleza, rallegrandomi seco di questa così buona nova per tutta la cristianità, che pure hanno fatto davero. Addio. Li V di settembre 1572. Di Vostra Signoria Molto Magnifica Servitore affezionatissimo Guglielmo Sangalletti. Al molto magnifico Signor mio osservandissimo Il Signor, Cavaliere Giorgio Vasari, in Firenze. ","Frey 1930, p. 699."
488,738,2 10  1568,GIORGIO VASARI IN FIRENZE A GIOVANNI CACCINI IN FIRENZE,"AGC, VIII, n. 63.","Magnifico Messer Giovanni, Signor mio. Ieri che la Signoria Vostra fu al Poggio, partisti, che io non la veddi; così il Duca, Signor nostro, ha ordinato, che si facci una scala al Poggio, et n’avete aver la cura; però bisognia che oggi io vi vegga a ogni modo per questo conto, perché bisognierà trovare un maestro, e domattina s’ha a condurre al Poggio et io c'ho a ritornare per questo conto. Però spettatemi in casa doppo desinare, che io vi verrò, e se non vi troverrò, piglierò la cura io di menallo. Tutto per aviso. Stamani venni a San Moro, ma eri partito; et son vostro. Di casa alli 2 di ottobre 1568. Vostro Giorgio Vasari Al Magnifico Messer Giovan Caccini, Procuratore di loro Eccellentie Illustrissime. In casa. ","Frey 1940, pp. 151-152."
489,692,26 07  1567,GUGLIELMO SANGALLETTI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 15 (XLIX), cc. 42, 45.","Molto magnifico messer Giorgio. Li mando la spedizione del suo negozio, che prima no’ s’è possuta avere. Èssi speso no’ so che ducati, che Claudio co’ altra ve ne darà conto. Avesti da Francesco Rinuccini li scudi centosei d’oro, e con li quarantaquatro, auti da me, fanno la somma de scudi centocinquanta, che sta bene. Nostro Signore m’ha comesso, che vi scriva, che avendo tanta dificultà in condurre da Savona al Bosco, si risolve, che l’ornamento della tavola, che voi fate, co’ que santi, si faccino al Bosco, e che là no’ mancherà maestri; ma siben’ che voi atendiate a finire l’opera, che tocca a fare a voi, della pittura co’ ogni studio e diligenza, come sa che farete: siché eseguite quanto vi dico, perché così è mente sua. E a maestro Battista Botticelli si potrà donare qualcosa, a causa che in tutto no’ si perda le sua fatiche. Le bascio le mani. Che Nostro Signore Iddio le doni ogni contento. Di Roma li XXVI di luglio 1567. Di Vostra Signoria Servitore affettuosissimo Guglielmo Sangalletti Al molto magnifico messer Giorgio Vasari mio osservandissimo in Firenze. ","Frey 1930, p. 344. "
490,368,19 12  1561,GIORGIO VASARI IN FIRENZE A COSIMO DE’ MEDICI IN PISA,"ASA, AV, 9 (XLIII), cc. 71-72.","Illustrissimo, Eccellentissimo Signor mio. Poi che messer Guido Guidi mi scrive di costì, che voglion dar principio alla notomia, e che s’aspeta solo, che io vadia, mi son risoluto, quando sia con buona grazia di Quella, di venir queste feste, acciò posso rinfrescar la memoria con gli studii dell’arte, per poter far quello sforzo con la mia virtù nella sala grande per lasciare memoria a’ posteri della felice vettoria, auta Vostra Eccellenza in Valdichiana, per le mia mani in pittura. Dove a le cose di qua lascerò ordine, ch’elle caminino al solito loro; che lo posso far sicuramente, da che La mi fe’ grazia l’anno passato a Livorno, quando venni per risolvere la cosa della fabrica de’ Magistrati, e La mi concesse, che io potessi tenervi uno aiuto, ateso, com’Ella sa, che non potevo suplire a tanti luoghi e a tante cose diverse che io faccio: che dichiarai Dionisgi fallegniame per sottarchitettore, che è quello che ha fatto il modello del palazzo e de’ Magistrati, e perché meglio e la fabrica e ‘l palazzo possa esser servito, gli detti in conpagnia maestro Batista Botticelli, che è quello che fa i palchi delle camere della Illustrissima Duchessa 1 . I quali, quando l’uno e quando l’altro, senpre sono a rivedere le quadrature delle pietre che si murano e a fare osservare le modanature e far collegare i muri e in sonma dove bisognia; e me ne servo a far tutti e modegli che per l’avenire mi sovengano, e spesso vanno alle cave e qui in palazzo drieto a quel che si fabrica e in sonma a tutto quel che m’accade per levarmi fatica e far ch’elle cose vadino innanzi. E perché e’ non possono così continovamente esser veduti inn sulla fabrica, bastandomi, che e’ ci sieno del continuo, quando e’ fa di bisognio, non vorei che qualche malignio sopra di ciò mi caluniassi, per non gli veder senpre in sul lavoro. Sta bene Mi è parso fargli sapere il tutto, acertandola, che son senpre inpiegati per Lei, e che posso star sicuro, quando mi parto, d’esserci io medesimo, e che fino a ora posso meglio che non facevo l’anno passato atendere alle pitture e a l’altre cose di Vostra Eccellenza; la quale piacendogli, che io venga, si degni, che io lo sappi, che altrimenti non partirei. E a Quella con tutto il core mi offero e raccomando. Di Fiorenza alli XVIIII di Dicenbre MDLXI. Di Vostra Eccellenza Illustrissima. Obligatissimo Servitore Giorgio Vasari. Allo Illustrissimo e Eccelentissimo Signor, il Signor Duca di Fiorenza e Siena, Signor mio unico. A Pisa. In man propria 2 . 
 
 
 1 Sta bene.
 
 2 Giorgio venga, e quanto più presto tanto più grato a Sua Excellenza Jacopo Guidi, vescovo di citta di Penna, XXI dicembre '61 A Giorgio Vasari, Pittore di Sua Eccellenza. Fiorenza. Per servizio di Sua Eccellenza subito. ","Frey 1923, pp. 648-650."
491,954,1 01  ,0,0, ,0
492,407,6 06  1562, COSIMO DE’ MEDICI IN FIRENZE A MEDORO NUCCI IN VENEZIA,"ASA, AV, 8 (XLII), cc. 53-54.","Cosimo Medici Duca di Fiorenza e Siena etc. Carissimo Nostro. Ci sono state grate le lettere vostre de 23 e 30 del passato. Contenendo avvisi di diverse bande, onde ve ne commendiamo al solito, dicendovi che non vi si scrisse per l’altro procaccio perché ci trovavamo in viaggio. Dio vi guardi. Da Fiorenza li VI di giugno MDLXII El Duca di Fiorenza A Medoro Nucci nostro carissimo a Venezia ", assente
493,542,27 11  1564,GIORGIO VASARI IN FIRENZE A DON GIUSTI IN PISA,"ASF, MP 510, c. 974.","Molto Magnifico e Reverendo Signor mio. Apunto io spedivo Maso Zaballi carradore e volevo scrivere duo versi a Sua Eccellenza et alla Signoria Vostra: ecco, una sua, che mi risponde et alla lettera che scrissi a Sua Eccellenza Illustrissima et allei, che non spettavo altrimenti risposta né dall’uno né dall’altro; che come ben dice nella sua, non iscadeva. A me è stata grata, perché io son chiaro, che nella servitù mia con Sua Eccellenzia cerco senpre non gli dar dispiaceri et aver ben cura della gloria Sua, forse più che dell’anima mia; e del continuo, mentre arò vita, et che io lo servirò, farò il medesimo. Vi ringrazio bene della amorevoleza che usate, che a me non è nuova, perché conosco la fede, l’integrità e l’eccellenzia della virtù sua e la pazienzia che ell’ha contro a’ maligni; ma perché la proprietà della natura delle corti è senpre oprimere i buoni e di esaltar gl’adulatori e i maligni, che senpre furono padroni delle volontà d’altrui, bisognia ridersene et andare innanzi, perché la virtù de’ buoni s’ella non ha il luogo suo in terra l’ha poi lassù da Dio in cielo. Or questo basti, che troppo siate savio e siate conosciuto. Maso Zaballi viene per andare a Pietra Santa et a Seravezza per vedere dalle cave fino alla marina lo aviamento che s’ha a fare per condur le pietre. Che li farete una lettera a Matteo Inghirami, che vadia seco e gli mostri il tutto, e la vegga, se ci è comodità di buoi, di canapi et di quel che arà bisognio. Poi visto che arà, converrà col Duca, o con chi ordinerà, e si risolverà pigliare tale aviamento sopra di sé; et allora ci manderà il fratello o, se bisognierà, altri, di maniera che resterà d’acordo con Sua Eccellenzia: tanto che si acomodi tal cosa. E mi sare’ piacere, che lo spediate subito, perché gli ha il carico tirare le pietre de’ Magistrati, acciò nullo indugio dello ordinar costagiù non disordinassi qui l’opera nostra; e scrivo duo parole a Sua Eccellenza Illustrissima per ciò. Il Reverendo Signor Spedalingo de’ Nocenti fu ieri a trovarmi; e secondo che ho ritratto, debbano messer Pier Vettori e messer Giambatista Marcellino aver sopra l’invenzione delle storie della sala grande, che io fo in questo palco. E perché ha visto, che ho cominciato un disegnio per fare il cartone dell’ultima storia, che la Signoria Vostra per ordine del Duca mi risolvé, mi dette una lettera che io vela mandassi, col pregarmi, che io non tirassi innanzi il disegnio et il cartone senza lo aviso e risposta, che la Signoria Vostra gli darà, perché non mi pare che sia interamente satisfatto di questo ultimo, per aver discorsovi con que’ begli ingegni e finalmente risolutosi a far questa lettera, che la Signoria Vostra con destreza, per via di ragionamento, senta l’animo del Duca. A me non inporta, ora che non ho fatto il cartone; ma se fussi fatto, non mi metterei già a nuova fatica, perché son infastidito in 39 storie, tutte piene di figure che, vi giuro, che non si può far fare attitudine varie a nessuna figura, perché è messo in questo tutto quel che può far un uomo; e quanto prima verrà, tanto prima vi metterò mano, perché non manca altro cartone che questo, come ella sa. E resto a suoi comandi. Di Fiorenza alli XXVII di novenbre 1564. Di Vostra Eccellenza Illustrissima obligatissimo Servitore il vostro Giorgio Vasari. Al Molto Magnifico e Reverendo Signor mio, il Signor Abate Iusti, segretario di Sua Eccellenza Illustrissima. A Pisa. "," Gaye 1839-1840, III, c. 974; Milanesi 1878-1885, VIII, pp. 287-288; Frey 1930, pp. 130-133."
494,112,27 04  1548,MINIATO PITTI IN MONTOLIVETO A GIORGIO VASARI IN RAVENNA,"ASA, AV, 9 (XLIII), cc. 106, 111.","Messer Giorgio carissimo e onorando etc. Da altri che da me so che intenderete il successo del nostro capitolo, ito tutto al contrario di quello che universalmente si giudicava: del che io ne sono più contento assai che se in me stesso fussi cascata. Io me ne torno a San Miniato, donde mi partii. Ho parlato con il padre ariminese, il quale è di mala voglia e spaventato per amore vostro, perché pensava contentarvi con 250 ducati; e gli pare, che quella monstri non si contentare pure di 300. Vi voglio pregare, che non guardiate in 50 scudi; perché so, che voi ne fate bene in ogni modo, e vi potranno giovare per più di 500, e vi manterrete l’amico obligato, che non vi sarà mai ingrato. Sì che fate a mio senno, che vi consiglio più per utile vostro, che voi non pensate, se bene vi esorto a fare piacere: e di tanto vi prego. E ricordatevi, che sono tutto vostro. Altro per la presente non mi occorre, salvo che a voi del continuo mi raccomando. Che Dio vi conservi felicissimo. Da Montoliveto di Chiusure alli 27 di aprile 1548.  Il tutto vostro affezionatissimo Fratello Miniato Pitti. Al magnifico messer Giorgio Vasari d’Arezzo, pittore eccellente e suo osservandissimo. A Ravenna. ","Frey 1923, p. 219."
495,811,30 03  1570,GIORGIO VASARI IN FIRENZE A ORDINE DI SANTO STEFANO IN PISA,"ASPi, AOST, 1365, II, cc. 512, 557.","Molto Illustrissimi Signori miei observandissimi. Ho inteso per maestro Giovanni di Stoco che è venuto questa Pasqua a Fiorenza, a che termine si trovi il canpanile e lo altare della chiesa vostra dì Santo Stefano, che gli ho conmesso che nello aviamento della cava de’ marmi al Monte S. Giuliano, dove e’ cava ancora le pietre per il canpanile vostro, cavi parimente tutte li scaglioni et de 4 scalini che vanno inanzi alla chiesa nella facciata da piè, perché sarà minore spesa al cavagli tutti insiemi e più comodità; che di tutto ho ragionato col Gran Duca. Fate che le Signoria Vostra Illustrissime sollecitino il far mettere su il poggiolo dell’organo, perché si possa, come le scrissi, incominciare a mandar costì tutto l’ornamento dell’organo, quale sabato prossimo sarà messo tutto d’oro, et allora io manderò il conto dell’oro che ci è ito e tutto quel che monta la fattura. Intanto si va sollecitando il restante delle cose vostre, conforme al dessiderio di Sua Altezza et al vostro, et io non manco del debito mio. Maestro Giovanni potrà in vocie raguagliarvi dell’ornamento dell’organo che l’ha visto finito e che cosa e’ sarà: così della sieda; et intanto io spetto risposta della mia che sabato passato scrissi alle Signoria Vostra Illustrissime, et quelle mi comandino. Altro non o che dirli se non che sono alli servitii vostri. Di Fiorenza alli 30 di marzo 1570. Di Vostra Signoria Servitore Giorgio Vasari. Alli Illustrissimi Signori XII del Consiglio della Sag. Ra Religione di Santo Stefano, Signor miei obsservandissimi. A Pisa. ","Milanesi 1878-1885, VIII, p. 451; Frey 1930, pp. 497-498. "
496,1001,21 06  1572,GIORGIO VASARI IN FIRENZE A LEONARDO BUONARROTI IN FIRENZE,"BM, 23139, n. 18.","Molto Magnifico Messer Lionardo Signor mio. La Signoria Vostra sarà contenta di pagare a maestro Giovanni Garciolli fallegniame scudi trenta sette di moneta per fattura dello ornamento della tavola di Santa Crocie per la vostra capella,che così sono rimasto d’acordo seco e mi vi raccomando. Di casa alli 21 di giugnio 1572. Di Vostra Signoria Signore il cavalier Giorgio Vasarii. Al Magnifico Messer Lionardo Buonarroti Signor mio obsservandissimo. ","Milanesi 1878-1885, VIII, p. 471; Frey 1930, p. 687."
497,391,29 03  1562,GIORGIO VASARI IN FIRENZE A GIOVANNI CACCINI IN PISA,"AGC, VIII, n. 1.","Molto Magnifico Messer Giovanni. Ancora che stasera el riconciliarsi e molte altre cose che ne inpediscano il riscrivere allungo, molte cose non dirò solo se non che la Signoria Vostra stia avertita alla cosa del Ferrino, perché so che ci è chi n’ha voglia e chi l’aiuta, che tutto credo in contrario, perché il Duca è inrevocabile, massime così ora. Intanto state pure atento, perché io sia in tenpo a rescrivere se bisognia. Del Signor Montalvo et di Messer Traiano già lo sapevo. Tutto mi piace. Intanto state sano che son tutto vostro, simile lo Spedalingo che vi saluta con meco. Della lettera, che la Signoria Vostra portò al Duca, l’ho riauta piena di rescritti. E di tutto vi ringrazio. La Signoria Vostra saluti Messer Guido Guidi, Proposto di Pescia, e gli dica, che non si può far ben per l’anima che non si facci bene al corpo; là dove io, che per questo anno atendo al corpo e non all’anima, vo’ che Pisa la godi il Duca, lo studio e la corte, e che io ho sentito le tenebre di qua che mi bastano senza quelle di Pisa, e che son suo e vostro insiemi. Salutate Maestro Davitte e che sento che ci è sue lettere, ma per sino a ora non l’ho aute, un poco più che l’endugino per questo sabato ch’è santo. Non gli risponderò, ma salutatelo per mia parte. Gianni mio viene costì per alcune sue facende; vi farà motto quando partirà volendo voi nulla. Altro non mi occorre salvo che son vostro. Di Fiorenza alli XXVIIII di marzo 1562. Di Vostra Signoria il Vostro Giorgio Vasari. Al Molto Magnifico et Signor mio observandissimo Messer Giovanni Caccini, Proveditore di Sua Eccellenzia illustrissima. A Pisa. "," Frey 1940, pp. 17-18."
498,1144,10 05  1574,FILIPPO BUONCOMPAGNI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 8 (XLII), cc. 171-172.","Molto magnifico amico carissimo. Ho ricevuto la vostra lettera per le mani di monsignor dal Monte, il quale mi ha raguagliato a pieno della diligenzia, che usate nell’opera de’ ritratti, e dell’impedimento dell’essequie, sì come mi scrivete ancor voi; e mi sarà caro, che la pigliate con vostro commodo senza tralasciar punto il servizio di Sua Altezza, che questo l’ho d’anteponer sempre a tutte l’altre cose. Vi essorto poi a passar con pazienzia la perdità di tanto gran principe, che se bene deve a tutti recar dolore, tutta via considerando, che la cosa è senza rimedio, e che perpetuamente viverà il suo nome glorioso, dovemo tutti consolarci; e tanto più, che quella felice e benedetta anima gode la gloria del cielo. E voi particolarmente avete da quietarvene, non potendo manco sperare dalla bontà e generosità del Gran Duca Francesco di quel che effettualmente avete consequito dalla magnianimità del Gran Duca Cosimo di felice memoria. Et il Signor Dio vi contenti. Di Roma il X di maggio 1574. Tutto vostro Il Cardinal S. Sisto. Al Molto magnifico amico carissimo il cavalier Giorgio Vasari. Firenze. "," Frey 1930, pp. 831-832."
499,684,10 05  1567,GUGLIELMO SANGALLETTI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 15 (XLIX), cc. 27-28.","Molto Magnifico messer Giorgio osservandissimo. Ho referto a Nostro Signore del disegno, che lei molto presto manderà qua della tavola che deve fare; e li piace, aspettandolo co’ desiderio. Messer Tomaso Guidacci portò a Vostra Signoria la spedizione del suo negozio, e la spesa fatta si computerà, come desiderate, ne’ lavori che dovete fare. Circa quello che desidero dallei per la causa che sapete, ancora no’ fa di bisogno; ma andatevi pur preparando, che quando sarà tempo, mi abbiate a fare questo servizio per la verità: che altro non intendo voler dallei; et co’ questo meli offero e raccomando. Che Nostro Signore Iddio la guardi di male. Di Roma li X di maggio MDLXVII. Di Vostra Signoria Magnifica Servitore Guglielmo Sangalletti. Al molto magnifico et mio osservandissimo messer Giorgio Vasari in Firenze. ","Frey 1930, pp. 337-338."
